CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.1808,42,ROSE,TU,TU,1,0,U,8,14/04/2015,19:26,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.275,43,CLOSE,OUT,y,1,1,U,9,05/06/2014,02:30,2,2,NA,NA,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.275,43,ROSE,OUT,y,1,1,U,9,05/06/2014,02:30,2,1,NA,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.1842,44,CLOSE,IN,y,1,1,W,5,04/05/2015,08:53,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1842,44,ROSE,TU,TU,1,0,U,5,04/05/2015,08:53,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.48,45,CLOSE,OUT,y,1,1,U,12,27/10/2014,21:37,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.48,45,ROSE,TU,TU,1,0,U,12,27/10/2014,21:37,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1781,46,CLOSE,OUT,y,1,1,D,4,23/03/2015,18:51,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,1,1,0,0,1,1
F1.1781,46,ROSE,TU,TU,1,0,U,4,23/03/2015,18:51,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F1.851,47,CLOSE,OUT,y,1,1,D,-4,11/03/2011,00:38,3,3,1,1,F,F,F,0,0,1,1,0,0,3,3,0,0,0,0,2,2
F1.851,47,ROSE,OUT,y,1,1,D,-4,11/03/2011,00:38,3,3,1,1,F,F,F,0,0,1,0,0,0,3,3,0,0,0,0,2,1
F1.811,48,CLOSE,OUT,y,1,1,D,8,11/04/2011,02:02,3,3,1,1,F,F,F,1,1,0,0,1,1,0,0,0,0,0,0,2,2
F1.811,48,ROSE,OUT,y,1,1,D,8,11/04/2011,02:02,3,3,1,1,F,F,F,1,0,0,0,1,1,0,0,0,0,0,0,2,1
F1. 274,49,CLOSE,IN,y,1,1,W,9,05/06/2014,01:42,2,2,1,1,F,F,F,1,1,1,1,0,0,0,0,0,0,0,0,2,2
F1. 274,49,ROSE,IN,y,1,1,U,9,05/06/2014,01:42,2,2,1,NA,U,U,U,1,1,1,1,0,0,0,0,0,0,0,0,2,2
F1.1762,50,CLOSE,IN,y,1,1,U,3,26/01/2015,05:41,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1762,50,ROSE,NO.TRIGGER,NO.TRIGGER,1,0,U,3,26/01/2015,05:41,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.190,51,CLOSE,OUT,y,1,1,D,0,28/02/2014,20:45,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.190,51,ROSE,TU,TU,1,0,U,0,28/02/2014,20:45,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.767,52,CLOSE,TU,TU,1,0,U,8,04/05/2011,20:40,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.767,52,ROSE,OUT,y,1,1,U,8,04/05/2011,20:40,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.231,53,CLOSE,NO.TRIGGER,NO.TRIGGER,1,0,U,1,22/03/2014,00:32,1,0,1,0,U,U,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.231,53,ROSE,IN,y,1,1,W,1,22/03/2014,00:32,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.145,54,CLOSE,IN,y,1,1,U,1,09/01/2014,19:51,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.145,54,ROSE,IN,y,1,1,U,1,09/01/2014,19:51,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.832,55,CLOSE,OUT,y,1,1,W,4,23/03/2011,23:01,3,3,1,1,F,F,F,0,0,1,1,0,0,0,0,1,1,0,0,2,2
F1.832,55,ROSE,OUT,y,1,1,U,4,23/03/2011,23:01,3,3,1,1,F,F,F,0,0,1,0,0,0,0,0,1,0,0,0,2,0
F1.606,56,ROSE,IN,y,1,1,W,0,27/03/2012,02:55,3,3,1,1,F,F,F,1,1,1,1,0,0,0,0,0,0,0,0,2,2
F1.606,56,CLOSE,IN,y,1,1,W,0,27/03/2012,02:55,3,2,1,1,F,F,F,1,0,1,0,0,0,0,0,0,0,0,0,2,0
F1.164,57,ROSE,IN,y,1,1,W,0,04/03/2013,07:16,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.164,57,CLOSE,IN,y,1,1,U,0,04/03/2013,07:16,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.758,58,CLOSE,OUT,y,1,1,D,9,28/04/2011,20:22,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.758,58,ROSE,OUT,y,1,1,D,9,28/04/2011,20:22,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.809,59,CLOSE,OUT,y,1,1,D,3,10/04/2011,02:14,3,3,1,1,F,F,F,1,1,1,1,0,0,1,1,0,0,0,0,3,3
F1.809,59,ROSE,OUT,y,1,1,U,3,10/04/2011,02:14,3,3,1,1,F,F,F,1,0,1,0,0,0,1,1,0,0,0,0,3,1
F1.716,60,CLOSE,OUT,y,1,1,W,1,19/12/2014,15:15,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.716,60,ROSE,TU,TU,1,0,U,1,19/12/2014,15:15,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.37,61,CLOSE,IN,y,1,1,W,1,08/04/2014,03:29,2,1,1,1,FJ,FJ,FJ,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.37,61,ROSE,IN,y,1,1,W,1,08/04/2014,03:29,2,2,1,1,FJ,FJ,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.764,62,CLOSE,IN,y,1,1,W,-3,03/05/2011,05:21,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.764,62,ROSE,IN,y,1,1,U,-3,03/05/2011,05:21,3,2,1,NA,F,F,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.169,63,CLOSE,OUT,y,1,1,D,3,04/03/2014,19:33,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.169,63,ROSE,OUT,y,1,1,U,3,04/03/2014,19:33,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1667,64,CLOSE,OUT,y,1,1,D,1,05/03/2013,18:18,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
