EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
03/09/2012,29/08/2012,5,3.999999992,0,,,1,,4,C,1
13/09/2012,03/09/2012,10,1.999999996,0,,,,,0,C,1
18/09/2012,13/09/2012,5,2.999999999,0,,,1,,5,C,1
24/09/2012,18/09/2012,6,1.999999996,0,,,,,11,C,1
28/09/2012,24/09/2012,4,0,0,,1,,,0,C,1
01/10/2012,28/09/2012,3,0,0,,,,,3,C,1
02/10/2012,01/10/2012,1,2.000000007,0,,,,,4,C,1
03/10/2012,02/10/2012,1,0,0,,,,,5,C,1
04/10/2012,03/10/2012,1,0,0,,,,,6,C,1
09/10/2012,04/10/2012,5,2.000000007,0,,,,,11,C,1
10/10/2012,09/10/2012,1,43,0,,,,,12,C,1
16/10/2012,10/10/2012,6,2.999999999,0,,,,,18,C,1
17/10/2012,16/10/2012,1,1.000000003,0,,,,,19,C,1
20/10/2012,17/10/2012,3,1.999999996,0,,,,,22,C,1
22/10/2012,20/10/2012,2,0,0,,,1,,0,C,1
23/10/2012,22/10/2012,1,0,0,,,,,1,C,1
28/10/2012,23/10/2012,5,0,0,,,,,6,C,1
30/10/2012,28/10/2012,2,0,0,,,,,8,C,1
02/11/2012,30/10/2012,3,0,0,,,,,11,C,1
09/11/2012,02/11/2012,7,0,0,,,,,1,C,1
10/11/2012,09/11/2012,1,2.000000007,0,,,,,2,C,1
14/11/2012,10/11/2012,4,0,0,,,,,6,C,1
17/11/2012,14/11/2012,3,0,0,,,1,,9,C,1
18/11/2012,17/11/2012,1,0,0,,,,,10,C,1
20/11/2012,18/11/2012,2,0,0,,,,,12,C,1
